ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_19986,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
ASV_19987,Eukaryota,NA,NA,NA,NA,NA
ASV_19988,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
ASV_19989,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA
ASV_1999,Eukaryota,NA,NA,NA,NA,NA
ASV_19990,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter
ASV_19991,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Candidatus Protistobacter,NA
ASV_19993,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10
ASV_19994,Bacteria,Proteobacteria,Gammaproteobacteria,KF-JG30-C25,NA,NA
ASV_19995,Bacteria,Planctomycetota,vadinHA49,NA,NA,NA
ASV_19996,Bacteria,Latescibacterota,NA,NA,NA,NA
ASV_19997,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV_19998,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV_19999,Bacteria,Myxococcota,Polyangia,UASB-TL25,NA,NA
ASV_2000,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium
ASV_20000,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula
ASV_20001,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,NA
ASV_20002,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA
ASV_20003,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,SG8-4,NA
ASV_20004,Bacteria,Nitrospirota,Thermodesulfovibrionia,NA,NA,NA
ASV_20005,Bacteria,Latescibacterota,NA,NA,NA,NA
ASV_20006,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_20007,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
ASV_20008,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_20009,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV_20010,Bacteria,Nitrospirota,Thermodesulfovibrionia,NA,NA,NA
ASV_20011,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas
ASV_20012,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV_20013,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
ASV_20014,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Synechococcus PCC-7902
ASV_20015,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV_20016,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter
ASV_20017,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA
ASV_20018,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_20019,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_2002,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA
ASV_20020,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_20021,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Vitiosangium
