ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_4672,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus
ASV_4673,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV_4674,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
ASV_4675,Bacteria,Myxococcota,Polyangia,Blfdi19,NA,NA
ASV_4676,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA
ASV_4677,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,SG8-4,NA
ASV_4678,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA
ASV_4679,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula
ASV_468,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium
ASV_4680,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4681,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,NA
ASV_4682,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pseudopedobacter
ASV_4683,Eukaryota,NA,NA,NA,NA,NA
ASV_4684,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA
ASV_4685,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_4686,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group
ASV_4688,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NA,NA
ASV_4689,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,MWH-Ta3
ASV_4690,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4691,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA
ASV_4692,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV_4693,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,NA,NA
ASV_4694,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,marine group
ASV_4695,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA
ASV_4696,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA
ASV_4697,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Megaira
ASV_4698,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA
ASV_4699,Eukaryota,NA,NA,NA,NA,NA
ASV_470,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
ASV_4700,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV_4701,Eukaryota,NA,NA,NA,NA,NA
ASV_4702,Eukaryota,NA,NA,NA,NA,NA
ASV_4703,Bacteria,Calditrichota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_4704,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
ASV_4705,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4706,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4707,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera
ASV_4708,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA
ASV_4709,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,GWD2-49-16
